YEAR;cod_distrito;distrito;indicador_nivel2;porcentaje
2019;7;CHAMBERI;PSOE;5.62
2019;7;CHAMBERI;Podemos;0.0
2019;7;CHAMBERI;VOX;6.5
2023;7;CHAMBERI;Ciudadanos;2.4
2023;7;CHAMBERI;Más Madrid;11.09
2023;7;CHAMBERI;PP;40.93
2023;7;CHAMBERI;PSOE;8.4
2023;7;CHAMBERI;Podemos;2.48
2023;7;CHAMBERI;VOX;7.33
2019;8;FUENCARRAL-EL PARDO;Más Madrid;18.55
2019;8;FUENCARRAL-EL PARDO;PP;20.15
2019;8;FUENCARRAL-EL PARDO;Ciudadanos;16.99
2019;8;FUENCARRAL-EL PARDO;PSOE;8.38
2019;8;FUENCARRAL-EL PARDO;Podemos;0.0
2019;8;FUENCARRAL-EL PARDO;VOX;6.48
2023;8;FUENCARRAL-EL PARDO;Ciudadanos;2.57
2023;8;FUENCARRAL-EL PARDO;Más Madrid;10.43
2023;8;FUENCARRAL-EL PARDO;PP;38.99
2023;8;FUENCARRAL-EL PARDO;PSOE;10.87
2023;8;FUENCARRAL-EL PARDO;Podemos;2.43
2023;8;FUENCARRAL-EL PARDO;VOX;7.5
2019;9;MONCLOA-ARAVACA;Más Madrid;19.88
2019;9;MONCLOA-ARAVACA;PP;24.4
2019;9;MONCLOA-ARAVACA;Ciudadanos;14.92
2019;9;MONCLOA-ARAVACA;PSOE;6.52
2019;9;MONCLOA-ARAVACA;Podemos;0.0
2019;9;MONCLOA-ARAVACA;VOX;6.56
2023;9;MONCLOA-ARAVACA;Ciudadanos;2.29
2023;9;MONCLOA-ARAVACA;Más Madrid;11.5
2023;9;MONCLOA-ARAVACA;PP;39.92
2023;9;MONCLOA-ARAVACA;PSOE;9.19
2023;9;MONCLOA-ARAVACA;Podemos;2.75
2023;9;MONCLOA-ARAVACA;VOX;7.63
2019;10;LATINA;Más Madrid;20.55
2019;10;LATINA;PP;15.46
2019;10;LATINA;Ciudadanos;11.02
2019;10;LATINA;PSOE;11.17
2019;10;LATINA;Podemos;0.0
2019;10;LATINA;VOX;4.82
2023;10;LATINA;Ciudadanos;1.58
2023;10;LATINA;Más Madrid;14.11
2023;10;LATINA;PP;26.44
2023;10;LATINA;PSOE;13.08
2023;10;LATINA;Podemos;3.98
2023;10;LATINA;VOX;5.9
2019;11;CARABANCHEL;Más Madrid;20.34
2019;11;CARABANCHEL;PP;12.22
2019;11;CARABANCHEL;Ciudadanos;10.16
2019;11;CARABANCHEL;PSOE;10.85
2019;11;CARABANCHEL;Podemos;0.0
2019;11;CARABANCHEL;VOX;4.44
2023;11;CARABANCHEL;Ciudadanos;1.46
2023;11;CARABANCHEL;Más Madrid;13.82
2023;11;CARABANCHEL;PP;23.25
2023;11;CARABANCHEL;PSOE;12.64
2023;11;CARABANCHEL;Podemos;3.5
2023;11;CARABANCHEL;VOX;5.43
2019;12;USERA;Más Madrid;21.12
2019;12;USERA;PP;9.14
2019;12;USERA;Ciudadanos;8.45
2019;12;USERA;PSOE;12.34
2019;12;USERA;Podemos;0.0
2019;12;USERA;VOX;3.67
2023;12;USERA;Ciudadanos;1.09
2023;12;USERA;Más Madrid;15.13
2023;12;USERA;PP;19.16
2023;12;USERA;PSOE;12.84
2023;12;USERA;Podemos;3.38
2023;12;USERA;VOX;5.13
2019;13;PUENTE DE VALLECAS;Más Madrid;23.53
2019;13;PUENTE DE VALLECAS;PP;7.0
2019;13;PUENTE DE VALLECAS;Ciudadanos;7.31
2019;13;PUENTE DE VALLECAS;PSOE;13.75
2019;13;PUENTE DE VALLECAS;Podemos;0.0
2019;13;PUENTE DE VALLECAS;VOX;3.06
2023;13;PUENTE DE VALLECAS;Ciudadanos;0.93
2023;13;PUENTE DE VALLECAS;Más Madrid;15.11
2023;13;PUENTE DE VALLECAS;PP;15.61
2023;13;PUENTE DE VALLECAS;PSOE;15.5
2023;13;PUENTE DE VALLECAS;Podemos;5.24
2023;13;PUENTE DE VALLECAS;VOX;4.6
2019;14;MORATALAZ;Más Madrid;22.8
2019;14;MORATALAZ;PP;15.96
2019;14;MORATALAZ;Ciudadanos;12.11
2019;14;MORATALAZ;PSOE;10.8
2019;14;MORATALAZ;Podemos;0.0
2019;14;MORATALAZ;VOX;4.41
2023;14;MORATALAZ;Ciudadanos;1.84
2023;14;MORATALAZ;Más Madrid;13.77
2023;14;MORATALAZ;PP;28.21
2023;14;MORATALAZ;PSOE;13.86
2023;14;MORATALAZ;Podemos;3.88
2023;14;MORATALAZ;VOX;5.57
2019;15;CIUDAD LINEAL;Más Madrid;19.23
2019;15;CIUDAD LINEAL;PP;17.54
2019;15;CIUDAD LINEAL;Ciudadanos;13.44
2019;15;CIUDAD LINEAL;PSOE;9.29
2019;15;CIUDAD LINEAL;Podemos;0.0
2019;15;CIUDAD LINEAL;VOX;5.04
2023;15;CIUDAD LINEAL;Ciudadanos;2.13
2023;15;CIUDAD LINEAL;Más Madrid;11.48
2023;15;CIUDAD LINEAL;PP;31.88
2023;15;CIUDAD LINEAL;PSOE;11.5
2023;15;CIUDAD LINEAL;Podemos;3.12
2023;15;CIUDAD LINEAL;VOX;6.14
2019;16;HORTALEZA;Más Madrid;18.9
2019;16;HORTALEZA;PP;17.28
2019;16;HORTALEZA;Ciudadanos;17.93
2019;16;HORTALEZA;PSOE;9.11
2019;16;HORTALEZA;Podemos;0.0
2019;16;HORTALEZA;VOX;6.0
2023;16;HORTALEZA;Ciudadanos;2.61
2023;16;HORTALEZA;Más Madrid;10.94
2023;16;HORTALEZA;PP;37.43
2023;16;HORTALEZA;PSOE;10.7
2023;16;HORTALEZA;Podemos;2.49
2023;16;HORTALEZA;VOX;6.96
2019;17;VILLAVERDE;Más Madrid;20.25
2019;17;VILLAVERDE;PP;9.22
2019;17;VILLAVERDE;Ciudadanos;9.11
2019;17;VILLAVERDE;PSOE;14.11
2019;17;VILLAVERDE;Podemos;0.0
2019;17;VILLAVERDE;VOX;3.94
2023;17;VILLAVERDE;Ciudadanos;1.26
2023;17;VILLAVERDE;Más Madrid;13.63
2023;17;VILLAVERDE;PP;19.15
2023;17;VILLAVERDE;PSOE;15.23
2023;17;VILLAVERDE;Podemos;3.5
2023;17;VILLAVERDE;VOX;5.25
2019;18;VILLA DE VALLECAS;Más Madrid;25.72
2019;18;VILLA DE VALLECAS;PP;8.1
2019;18;VILLA DE VALLECAS;Ciudadanos;12.27
2019;18;VILLA DE VALLECAS;PSOE;11.15
2019;18;VILLA DE VALLECAS;Podemos;0.0
2019;18;VILLA DE VALLECAS;VOX;4.22
2023;18;VILLA DE VALLECAS;Ciudadanos;1.73
2023;18;VILLA DE VALLECAS;Más Madrid;16.66
2023;18;VILLA DE VALLECAS;PP;22.1
2023;18;VILLA DE VALLECAS;PSOE;13.55
2023;18;VILLA DE VALLECAS;Podemos;4.11
2023;18;VILLA DE VALLECAS;VOX;5.71
2019;19;VICALVARO;Más Madrid;24.77
2019;19;VICALVARO;PP;9.29
2019;19;VICALVARO;Ciudadanos;13.01
2019;19;VICALVARO;PSOE;12.54
2019;19;VICALVARO;Podemos;0.0
2019;19;VICALVARO;VOX;4.33
2023;19;VICALVARO;Ciudadanos;2.32
2023;19;VICALVARO;Más Madrid;16.29
2023;19;VICALVARO;PP;25.04
2023;19;VICALVARO;PSOE;13.94
2023;19;VICALVARO;Podemos;3.6
2023;19;VICALVARO;VOX;5.86
2019;20;SAN BLAS-CANILLEJAS;Más Madrid;21.7
2019;20;SAN BLAS-CANILLEJAS;PP;11.53
2019;20;SAN BLAS-CANILLEJAS;Ciudadanos;13.43
2019;20;SAN BLAS-CANILLEJAS;PSOE;11.42
2019;20;SAN BLAS-CANILLEJAS;Podemos;0.0
2019;20;SAN BLAS-CANILLEJAS;VOX;4.59
2023;20;SAN BLAS-CANILLEJAS;Ciudadanos;1.94
2023;20;SAN BLAS-CANILLEJAS;Más Madrid;12.85
2023;20;SAN BLAS-CANILLEJAS;PP;27.08
2023;20;SAN BLAS-CANILLEJAS;PSOE;13.35
2023;20;SAN BLAS-CANILLEJAS;Podemos;3.46
2023;20;SAN BLAS-CANILLEJAS;VOX;5.95
2019;21;BARAJAS;Más Madrid;20.63
2019;21;BARAJAS;PP;16.58
2019;21;BARAJAS;Ciudadanos;18.53
2019;21;BARAJAS;PSOE;8.7
2019;21;BARAJAS;Podemos;0.0
2019;21;BARAJAS;VOX;6.28
2023;21;BARAJAS;Ciudadanos;2.82
2023;21;BARAJAS;Más Madrid;11.41
2023;21;BARAJAS;PP;36.37
2023;21;BARAJAS;PSOE;11.08
2023;21;BARAJAS;Podemos;2.63
2023;21;BARAJAS;VOX;6.94
