YEAR;cod_distrito;distrito;indicador_nivel2;porcentaje
2023;7;Chamberí;Podemos;2.48
2023;7;Chamberí;VOX;7.33
2019;8;Fuencarral-El Pardo;Más Madrid;18.55
2019;8;Fuencarral-El Pardo;PP;20.15
2019;8;Fuencarral-El Pardo;Ciudadanos;16.99
2019;8;Fuencarral-El Pardo;PSOE;8.38
2019;8;Fuencarral-El Pardo;Podemos;0.0
2019;8;Fuencarral-El Pardo;VOX;6.48
2023;8;Fuencarral-El Pardo;Ciudadanos;2.57
2023;8;Fuencarral-El Pardo;Más Madrid;10.43
2023;8;Fuencarral-El Pardo;PP;38.99
2023;8;Fuencarral-El Pardo;PSOE;10.87
2023;8;Fuencarral-El Pardo;Podemos;2.43
2023;8;Fuencarral-El Pardo;VOX;7.5
2019;9;Moncloa-Aravaca;Más Madrid;19.88
2019;9;Moncloa-Aravaca;PP;24.4
2019;9;Moncloa-Aravaca;Ciudadanos;14.92
2019;9;Moncloa-Aravaca;PSOE;6.52
2019;9;Moncloa-Aravaca;Podemos;0.0
2019;9;Moncloa-Aravaca;VOX;6.56
2023;9;Moncloa-Aravaca;Ciudadanos;2.29
2023;9;Moncloa-Aravaca;Más Madrid;11.5
2023;9;Moncloa-Aravaca;PP;39.92
2023;9;Moncloa-Aravaca;PSOE;9.19
2023;9;Moncloa-Aravaca;Podemos;2.75
2023;9;Moncloa-Aravaca;VOX;7.63
2019;10;Latina;Más Madrid;20.55
2019;10;Latina;PP;15.46
2019;10;Latina;Ciudadanos;11.02
2019;10;Latina;PSOE;11.17
2019;10;Latina;Podemos;0.0
2019;10;Latina;VOX;4.82
2023;10;Latina;Ciudadanos;1.58
2023;10;Latina;Más Madrid;14.11
2023;10;Latina;PP;26.44
2023;10;Latina;PSOE;13.08
2023;10;Latina;Podemos;3.98
2023;10;Latina;VOX;5.9
2019;11;Carabanchel;Más Madrid;20.34
2019;11;Carabanchel;PP;12.22
2019;11;Carabanchel;Ciudadanos;10.16
2019;11;Carabanchel;PSOE;10.85
2019;11;Carabanchel;Podemos;0.0
2019;11;Carabanchel;VOX;4.44
2023;11;Carabanchel;Ciudadanos;1.46
2023;11;Carabanchel;Más Madrid;13.82
2023;11;Carabanchel;PP;23.25
2023;11;Carabanchel;PSOE;12.64
2023;11;Carabanchel;Podemos;3.5
2023;11;Carabanchel;VOX;5.43
2019;12;Usera;Más Madrid;21.12
2019;12;Usera;PP;9.14
2019;12;Usera;Ciudadanos;8.45
2019;12;Usera;PSOE;12.34
2019;12;Usera;Podemos;0.0
2019;12;Usera;VOX;3.67
2023;12;Usera;Ciudadanos;1.09
2023;12;Usera;Más Madrid;15.13
2023;12;Usera;PP;19.16
2023;12;Usera;PSOE;12.84
2023;12;Usera;Podemos;3.38
2023;12;Usera;VOX;5.13
2019;13;Puente de Vallecas;Más Madrid;23.53
2019;13;Puente de Vallecas;PP;7.0
2019;13;Puente de Vallecas;Ciudadanos;7.31
2019;13;Puente de Vallecas;PSOE;13.75
2019;13;Puente de Vallecas;Podemos;0.0
2019;13;Puente de Vallecas;VOX;3.06
2023;13;Puente de Vallecas;Ciudadanos;0.93
2023;13;Puente de Vallecas;Más Madrid;15.11
2023;13;Puente de Vallecas;PP;15.61
2023;13;Puente de Vallecas;PSOE;15.5
2023;13;Puente de Vallecas;Podemos;5.24
2023;13;Puente de Vallecas;VOX;4.6
2019;14;Moratalaz;Más Madrid;22.8
2019;14;Moratalaz;PP;15.96
2019;14;Moratalaz;Ciudadanos;12.11
2019;14;Moratalaz;PSOE;10.8
2019;14;Moratalaz;Podemos;0.0
2019;14;Moratalaz;VOX;4.41
2023;14;Moratalaz;Ciudadanos;1.84
2023;14;Moratalaz;Más Madrid;13.77
2023;14;Moratalaz;PP;28.21
2023;14;Moratalaz;PSOE;13.86
2023;14;Moratalaz;Podemos;3.88
2023;14;Moratalaz;VOX;5.57
2019;15;Ciudad Lineal;Más Madrid;19.23
2019;15;Ciudad Lineal;PP;17.54
2019;15;Ciudad Lineal;Ciudadanos;13.44
2019;15;Ciudad Lineal;PSOE;9.29
2019;15;Ciudad Lineal;Podemos;0.0
2019;15;Ciudad Lineal;VOX;5.04
2023;15;Ciudad Lineal;Ciudadanos;2.13
2023;15;Ciudad Lineal;Más Madrid;11.48
2023;15;Ciudad Lineal;PP;31.88
2023;15;Ciudad Lineal;PSOE;11.5
2023;15;Ciudad Lineal;Podemos;3.12
2023;15;Ciudad Lineal;VOX;6.14
2019;16;Hortaleza;Más Madrid;18.9
2019;16;Hortaleza;PP;17.28
2019;16;Hortaleza;Ciudadanos;17.93
2019;16;Hortaleza;PSOE;9.11
2019;16;Hortaleza;Podemos;0.0
2019;16;Hortaleza;VOX;6.0
2023;16;Hortaleza;Ciudadanos;2.61
2023;16;Hortaleza;Más Madrid;10.94
2023;16;Hortaleza;PP;37.43
2023;16;Hortaleza;PSOE;10.7
2023;16;Hortaleza;Podemos;2.49
2023;16;Hortaleza;VOX;6.96
2019;17;Villaverde;Más Madrid;20.25
2019;17;Villaverde;PP;9.22
2019;17;Villaverde;Ciudadanos;9.11
2019;17;Villaverde;PSOE;14.11
2019;17;Villaverde;Podemos;0.0
2019;17;Villaverde;VOX;3.94
2023;17;Villaverde;Ciudadanos;1.26
2023;17;Villaverde;Más Madrid;13.63
2023;17;Villaverde;PP;19.15
2023;17;Villaverde;PSOE;15.23
2023;17;Villaverde;Podemos;3.5
2023;17;Villaverde;VOX;5.25
2019;18;Villa de Vallecas;Más Madrid;25.72
2019;18;Villa de Vallecas;PP;8.1
2019;18;Villa de Vallecas;Ciudadanos;12.27
2019;18;Villa de Vallecas;PSOE;11.15
2019;18;Villa de Vallecas;Podemos;0.0
2019;18;Villa de Vallecas;VOX;4.22
2023;18;Villa de Vallecas;Ciudadanos;1.73
2023;18;Villa de Vallecas;Más Madrid;16.66
2023;18;Villa de Vallecas;PP;22.1
2023;18;Villa de Vallecas;PSOE;13.55
2023;18;Villa de Vallecas;Podemos;4.11
2023;18;Villa de Vallecas;VOX;5.71
2019;19;Vicálvaro;Más Madrid;24.77
2019;19;Vicálvaro;PP;9.29
2019;19;Vicálvaro;Ciudadanos;13.01
2019;19;Vicálvaro;PSOE;12.54
2019;19;Vicálvaro;Podemos;0.0
2019;19;Vicálvaro;VOX;4.33
2023;19;Vicálvaro;Ciudadanos;2.32
2023;19;Vicálvaro;Más Madrid;16.29
2023;19;Vicálvaro;PP;25.04
2023;19;Vicálvaro;PSOE;13.94
2023;19;Vicálvaro;Podemos;3.6
2023;19;Vicálvaro;VOX;5.86
2019;20;San Blas-Canillejas;Más Madrid;21.7
2019;20;San Blas-Canillejas;PP;11.53
2019;20;San Blas-Canillejas;Ciudadanos;13.43
2019;20;San Blas-Canillejas;PSOE;11.42
2019;20;San Blas-Canillejas;Podemos;0.0
2019;20;San Blas-Canillejas;VOX;4.59
2023;20;San Blas-Canillejas;Ciudadanos;1.94
2023;20;San Blas-Canillejas;Más Madrid;12.85
2023;20;San Blas-Canillejas;PP;27.08
2023;20;San Blas-Canillejas;PSOE;13.35
2023;20;San Blas-Canillejas;Podemos;3.46
2023;20;San Blas-Canillejas;VOX;5.95
2019;21;Barajas;Más Madrid;20.63
2019;21;Barajas;PP;16.58
2019;21;Barajas;Ciudadanos;18.53
2019;21;Barajas;PSOE;8.7
2019;21;Barajas;Podemos;0.0
2019;21;Barajas;VOX;6.28
2023;21;Barajas;Ciudadanos;2.82
2023;21;Barajas;Más Madrid;11.41
2023;21;Barajas;PP;36.37
2023;21;Barajas;PSOE;11.08
2023;21;Barajas;Podemos;2.63
2023;21;Barajas;VOX;6.94
